ID	A	A-coref	A-offset	B	B-coref	B-offset	Pronoun	Pronoun-offset	Text
dpr-train-72	The citizens	True	0	the government	False	30	they	53	The citizens rebelled against the government because they were being repressed.
dpr-train-73	The citizens	False	0	the government	True	30	they	53	The citizens rebelled against the government because they were being mean.
dpr-train-74	Cats	True	0	dogs	False	22	they	35	Cats are smarter than dogs because they always land on their feet.
dpr-train-75	Cats	False	0	dogs	True	22	they	35	Cats are smarter than dogs because they bark for no reason.
dpr-train-76	The ball	False	0	the window	True	13	it	42	The ball hit the window and Bill repaired it.
dpr-train-77	The ball	True	0	the window	False	13	it	40	The ball hit the window and Bill caught it.
dpr-train-78	Robert	False	0	Chris	True	13	he	27	Robert fired Chris because he couldn't do the job.
dpr-train-79	Robert	True	0	Chris	False	13	he	27	Robert fired Chris because he no longer needed workers.
dpr-train-80	Steve	True	0	Johnny	False	16	he	31	Steve scratched Johnny because he was angry.
dpr-train-81	Steve	False	0	Johnny	True	16	he	26	Steve scratched Johnny so he became angry.
dpr-train-82	The youth	True	0	the old man	False	17	he	37	The youth outran the old man because he was in shape.
dpr-train-83	The youth	False	0	the old man	True	17	he	37	The youth outran the old man because he broke his hip.
dpr-train-84	Video games	True	0	movies	False	27	they	42	Video games are outselling movies because they are fun to play.
dpr-train-85	Video games	False	0	movies	True	27	they	42	Video games are outselling movies because they are an old medium.
dpr-train-86	Google	True	0	Motorola	False	14	they	31	Google bought Motorola because they want its customer base.
dpr-train-87	Google	False	0	Motorola	True	14	they	31	Google bought Motorola because they were bankrupt.
dpr-train-88	Sam	False	0	Sally	True	12	she	22	Sam cheated Sally but she did not cry.
dpr-train-89	Sam	True	0	Sally	False	12	she	22	Sam cheated Sally but she did not repent.
dpr-train-90	Keith	True	0	Blaine	False	12	he	23	Keith fired Blaine but he did not regret.
dpr-train-91	Keith	False	0	Blaine	True	12	he	31	Keith fired Blaine even though he is diligent.
dpr-train-92	The storm	True	0	the flight	False	18	it	32	The storm delayed the flight as it was very dangerous.
dpr-train-93	The storm	False	0	the flight	True	18	it	32	The storm delayed the flight as it was going over the ocean.
dpr-train-94	John	True	0	Bill	False	13	he	26	John flicked Bill because he saw a fly on his shirt.
dpr-train-95	John	False	0	Bill	True	13	he	26	John flicked Bill because he had a fly on his shirt.
dpr-train-96	The zombies	True	0	the survivors	False	19	they	41	The zombies chased the survivors because they were hungry.
dpr-train-97	The zombies	False	0	the survivors	True	19	they	41	The zombies chased the survivors because they were tasty.
dpr-train-98	Medvedev	False	0	Putin	True	37	he	51	Medvedev will cede the presidency to Putin because he is more popular.
dpr-train-99	Medvedev	True	0	Putin	False	37	he	51	Medvedev will cede the presidency to Putin because he is less popular.
dpr-train-100	The master	True	0	the dog	False	20	he	36	The master rewarded the dog because he was a good owner.
dpr-train-101	The master	False	0	the dog	True	20	he	36	The master rewarded the dog because he was a good companion.
dpr-train-102	The cat	False	0	the glass	True	14	it	32	The cat broke the glass because it was fragile.
dpr-train-103	The cat	True	0	the glass	False	14	it	32	The cat broke the glass because it was clumsy.
dpr-train-104	Bill	True	0	Jim	False	14	he	41	Bill returned Jim twenty dollars because he borrowed money.
dpr-train-105	Bill	False	0	Jim	True	14	he	41	Bill returned Jim twenty dollars because he lent money.
dpr-train-106	The red team	True	0	the blue team	False	22	they	44	The red team defeated the blue team because they made the last penalty kick.
dpr-train-107	The red team	False	0	the blue team	True	22	they	44	The red team defeated the blue team because they missed the last penalty kick.
dpr-train-108	Jack	False	0	John	True	12	he	37	Jack pushed John up the hill because he was in a wheelbarrow.
dpr-train-109	Jack	True	0	John	False	12	he	37	Jack pushed John up the hill because he is a good samaritan.
dpr-train-110	The bespeckled old man	True	0	the passing trolley passenger	False	39	he	77	The bespeckled old man slowly waved at the passing trolley passenger because he waves at everybody.
dpr-train-111	The bespeckled old man	False	0	the passing trolley passenger	True	39	he	77	The bespeckled old man slowly waved at the passing trolley passenger because he waved at him.
dpr-train-112	The boy	True	0	the cop	False	17	he	33	The boy ran from the cop because he committed the crime.
dpr-train-113	The boy	False	0	the cop	True	17	he	33	The boy ran from the cop because he saw the crime.
dpr-train-114	The cap	False	0	the bottle	True	17	it	36	The cap fell off the bottle because it was pressurized.
dpr-train-115	The cap	True	0	the bottle	False	17	it	36	The cap fell off the bottle because it was untwisted.
dpr-train-116	The boy	True	0	his friend	False	25	he	41	The boy tried to address his friend, but he could not speak.
dpr-train-117	The boy	False	0	his friend	True	25	he	41	The boy tried to address his friend, but he could not hear.
dpr-train-118	A biker	False	0	an officer	True	18	he	33	A biker sped past an officer and he turned on his siren.
dpr-train-119	A biker	True	0	an officer	False	18	he	33	A biker sped past an officer and he got away.
dpr-train-120	The car hop	True	0	the man	False	20	he	42	The car hop brought the man his tray, but he forgot his french fries.
dpr-train-121	The car hop	False	0	the man	True	20	he	42	The car hop brought the man his tray, but he was not in the car.
dpr-train-122	The environmentalists	False	0	the corporation	True	36	they	60	The environmentalists were angry at the corporation because they had ignored their proposal.
dpr-train-123	The environmentalists	True	0	the corporation	False	36	they	60	The environmentalists were angry at the corporation because they saw them polluting the creek.
dpr-train-124	The magician	True	0	a rabbit	False	20	his	36	The magician pulled a rabbit out of his hat.
dpr-train-125	The magician	False	0	a rabbit	True	20	his	36	The magician pulled a rabbit out of his cage.
dpr-train-126	the bowling ball	True	12	the lane	False	34	it	48	Steve threw the bowling ball down the lane when it returned.
dpr-train-127	the bowling ball	False	12	the lane	True	34	it	48	Steve threw the bowling ball down the lane when it was clear.
dpr-train-128	The hippo	False	0	the trainer	True	23	he	48	The hippo ate the food the trainer brought when he put it in the trough.
dpr-train-129	The hippo	True	0	the trainer	False	23	he	48	The hippo ate the food the trainer brought when he was hungry.
dpr-train-130	the preschoolers	True	5	the senior citizens	False	30	they	51	When the preschoolers visited the senior citizens, they were surprisingly well behaved.
dpr-train-131	the preschoolers	False	5	the senior citizens	True	30	they	51	When the preschoolers visited the senior citizens, they were very hospitable.
dpr-train-132	The junior football team	False	0	the Dallas Cowboys	True	31	they	58	The junior football team likes the Dallas Cowboys because they are an inspiration.
dpr-train-133	The junior football team	True	0	the Dallas Cowboys	False	31	they	58	The junior football team likes the Dallas Cowboys because they get to watch quality football.
dpr-train-134	Jimbo	False	0	Bobbert	True	21	he	37	Jimbo eats more than Bobbert because he is on a diet.
dpr-train-135	Jimbo	True	0	Bobbert	False	21	he	37	Jimbo eats more than Bobbert because he is not on a diet.
dpr-train-136	The cougar	True	0	the rabbit	False	29	it	48	The cougar tried to befriend the rabbit because it had a bad reputation as an evil predator.
dpr-train-137	The cougar	False	0	the rabbit	True	29	it	48	The cougar tried to befriend the rabbit because it was loved by everybody.
dpr-train-138	Kevin	False	0	Michael	True	16	he	28	Kevin stared at Michael and he got angry.
dpr-train-139	Kevin	True	0	Michael	False	16	he	28	Kevin stared at Michael and he got his attention.
dpr-train-140	The cabbage	True	0	the freezer	False	19	it	35	The cabbage was in the freezer and it became frozen.
dpr-train-141	The cabbage	False	0	the freezer	True	19	it	35	The cabbage was in the freezer and it became full.
dpr-train-142	David	False	0	Bill	True	10	him	41	David hit Bill because Mary really liked him.
dpr-train-143	David	True	0	Bill	False	10	him	34	David hit Bill because Mary asked him to.
dpr-train-144	England	True	0	Spain	False	25	they	39	England won the bid over Spain because they prepared better.
dpr-train-145	England	False	0	Spain	True	25	they	39	England won the bid over Spain because they did not prepare thoroughly.
dpr-train-146	Caroline	True	0	Sue	False	26	she	38	Caroline quickly defeated Sue because she regained her confidence.
dpr-train-147	Caroline	False	0	Sue	True	26	she	38	Caroline quickly defeated Sue because she lost her confidence.
dpr-train-148	Firefox	True	0	Internet Explorer	False	26	it	52	Firefox is used more than Internet Explorer because it is more stable.
dpr-train-149	Firefox	False	0	Internet Explorer	True	26	it	52	Firefox is used more than Internet Explorer because it is less stable.
dpr-train-150	Students	True	0	exams	False	14	they	28	Students hate exams because they are lazy.
dpr-train-151	Students	False	0	exams	True	14	they	28	Students hate exams because they are tedious.
dpr-train-152	Gary	False	0	Bill	True	12	he	25	Gary envied Bill because he was rich.
dpr-train-153	Gary	True	0	Bill	False	12	he	25	Gary envied Bill because he was poor.
dpr-train-154	The company	False	0	the resolution	True	21	it	44	The company accepted the resolution because it was well-written.
dpr-train-155	The company	True	0	the resolution	False	21	it	44	The company accepted the resolution because it was desperate.
dpr-train-156	Paper	True	0	rock	False	12	it	22	Paper beats rock, but it is beaten by scissors.
dpr-train-157	Paper	False	0	rock	True	12	it	22	Paper beats rock, but it is able to beat scissors.
dpr-train-158	The teacher	False	0	the student	True	17	he	34	The teacher told the student that he needed to practice.
dpr-train-159	The teacher	True	0	the student	False	17	he	34	The teacher told the student that he expected something better from him.
dpr-train-160	Mr. Sanders	False	0	James	True	17	he	43	Mr. Sanders gave James a promotion because he has done good work.
dpr-train-161	Mr. Sanders	True	0	James	False	17	he	43	Mr. Sanders gave James a promotion because he appreciated his good work.
dpr-train-162	The coach	True	0	the captain	False	15	he	32	The coach told the captain that he was proud of him.
dpr-train-163	The coach	False	0	the captain	True	15	he	32	The coach told the captain that he was fired.
dpr-train-164	Luigi	False	0	Mario	True	14	he	28	Luigi rescued Mario because he was in trouble.
dpr-train-165	Luigi	True	0	Mario	False	14	he	28	Luigi rescued Mario because he was the only one who can.
dpr-train-166	Planet Express	True	0	Mom's Friendly Delivery Service	False	33	they	68	Planet Express was bought out by Mom's Friendly Delivery Service so they can no longer be a threat.
dpr-train-167	Planet Express	False	0	Mom's Friendly Delivery Service	True	33	they	68	Planet Express was bought out by Mom's Friendly Delivery Service so they can eliminate the competition.
dpr-train-168	The squirrels	True	0	the nuts	False	21	they	33	The squirrels buried the nuts so they would not lose them.
dpr-train-169	The squirrels	False	0	the nuts	True	21	they	33	The squirrels buried the nuts so they would not get lost.
dpr-train-170	The jocks	True	0	the nerds	False	23	they	41	The jocks did not like the nerds because they were bullies.
dpr-train-171	The jocks	False	0	the nerds	True	23	they	41	The jocks did not like the nerds because they were losers.
dpr-train-172	The spider	True	0	the fly	False	15	he	31	The spider ate the fly because he was hungry.
dpr-train-173	The spider	False	0	the fly	True	15	he	31	The spider ate the fly because he looked tasty.
dpr-train-174	The nurse	False	0	the girl	True	15	she	43	The nurse gave the girl a lollypop so that she would stop crying.
dpr-train-175	The nurse	True	0	the girl	False	15	she	43	The nurse gave the girl a lollypop because she had too many.
dpr-train-176	The police officer	False	0	the thief	True	26	he	44	The police officer chased the thief because he was stealing from the bank.
dpr-train-177	The police officer	True	0	the thief	False	26	he	44	The police officer chased the thief because he was protecting the bank.
dpr-train-178	The mechanic	True	0	the man	False	21	he	58	The mechanic charged the man one hundred dollars although he had done no work.
dpr-train-179	The mechanic	False	0	the man	True	21	he	58	The mechanic charged the man one hundred dollars although he only had eighty dollars.
dpr-train-180	The cat	True	0	the big dog	False	18	it	35	The cat looked at the big dog, and it was terrified.
dpr-train-181	The cat	False	0	the big dog	True	18	it	35	The cat looked at the big dog, and it barked menacingly.
dpr-train-182	Batman	False	0	the thief	True	14	he	29	Batman caught the thief, and he plead innocence.
dpr-train-183	Batman	True	0	the thief	False	14	he	29	Batman caught the thief, and he recovered the stolen diamonds.
dpr-train-184	The Emancipation Proclamation	False	0	slavery	True	35	it	56	The Emancipation Proclamation made slavery illegal, but it was still practiced.
dpr-train-185	The Emancipation Proclamation	True	0	slavery	False	35	it	56	The Emancipation Proclamation made slavery illegal, but it did not actually cause many slaves to be freed.
dpr-train-186	Chris	True	11	Sebastian	False	22	he	57	It annoyed Chris when Sebastian jangled his keys because he was in a bad mood.
dpr-train-187	Chris	False	11	Sebastian	True	22	he	57	It annoyed Chris when Sebastian jangled his keys because he wanted to make fun.
dpr-train-188	Sam	False	0	Davey	True	11	he	46	Sam helped Davey fortify their bunker because he thought the Mexicans were invading.
dpr-train-189	Sam	True	0	Davey	False	11	he	46	Sam helped Davey fortify their bunker because he wanted to be a good friend.
dpr-train-190	Fred	True	0	Mack	False	14	he	36	Fred drove to Mack's tire shop, and he bought a tire.
dpr-train-191	Fred	False	0	Mack	True	14	he	36	Fred drove to Mack's tire shop, and he sold a tire.
dpr-train-192	Randy	True	0	Nick	False	14	his	39	Randy went to Nick's store, and bought his groceries.
dpr-train-193	Randy	False	0	Nick	True	14	his	42	Randy went to Nick's store, and looked at his groceries.
dpr-train-194	Henry	False	0	Jack	True	14	he	34	Henry changed Jack's oil, because he gave him money.
dpr-train-195	Henry	True	0	Jack	False	14	he	34	Henry changed Jack's oil, because he needed money.
dpr-train-196	Bob	True	0	Jack	False	23	he	37	Bob cooked omelets for Jack, because he knew how.
dpr-train-197	Bob	False	0	Jack	True	23	he	37	Bob cooked omelets for Jack, because he was hungry.
dpr-train-198	John	True	0	Bill	False	23	he	36	John bought a beer for Bill because he likes cool guys.
dpr-train-199	John	False	0	Bill	True	23	he	36	John bought a beer for Bill because he is cool.
dpr-train-200	Gartok	True	0	Grognak	False	16	he	32	Gartok defeated Grognak because he was the stronger man.
dpr-train-201	Gartok	False	0	Grognak	True	16	he	32	Gartok defeated Grognak because he was puny and weak.
dpr-train-202	Shawn	False	0	Joe	True	10	he	18	Shawn hit Joe but he did not scream.
dpr-train-203	Shawn	True	0	Joe	False	10	he	18	Shawn hit Joe but he did not apologize.
dpr-train-204	Katie	False	0	Jane	True	14	she	23	Katie accused Jane but she was not found guilty.
dpr-train-205	Katie	True	0	Jane	False	14	she	23	Katie accused Jane but she felt badly about it.
dpr-train-206	Sherry	False	0	Karla	True	14	she	24	Sherry called Karla but she did not answer.
dpr-train-207	Sherry	True	0	Karla	False	14	she	24	Sherry called Karla but she later regretted it.
dpr-train-208	Steven	False	0	the president	True	20	he	42	Steven assassinated the president because he was a too liberal.
dpr-train-209	Steven	True	0	the president	False	20	he	42	Steven assassinated the president because he was paid to do it.
dpr-train-210	The wolves	True	0	the cows	False	15	they	32	The wolves ate the cows because they were hungry.
dpr-train-211	The wolves	False	0	the cows	True	15	they	32	The wolves ate the cows because they were delicious.
dpr-train-212	Michael	False	0	Bill	True	15	him	46	Michael backed Bill because John really liked him.
dpr-train-213	Michael	True	0	Bill	False	15	him	39	Michael backed Bill because John asked him to.
dpr-train-214	Johnson	False	0	David	True	39	he	54	Johnson wanted to make friendship with David, because he is well connected.
dpr-train-215	Johnson	True	0	David	False	39	he	54	Johnson wanted to make friendship with David, because he wanted help.
dpr-train-216	The company	True	0	the employees	False	31	they	53	The company declared bonus for the employees because they made huge profits.
dpr-train-217	The company	False	0	the employees	True	31	they	53	The company declared bonus for the employees because they worked hard.
dpr-train-218	The school	True	0	parents	False	18	they	50	The school denied parents parking permits because they did not want the parking lots to be over crowded with cars.
dpr-train-219	The school	False	0	parents	True	18	they	50	The school denied parents parking permits because they violated parking rules.
dpr-train-220	Joe	False	0	Jose	True	12	he	37	Joe slapped Jose in the face because he cussed him out.
dpr-train-221	Joe	True	0	Jose	False	12	he	37	Joe slapped Jose in the face because he was angry.
dpr-train-222	Stephanie	True	0	Brandy	False	15	she	38	Stephanie gave Brandy flowers because she had a lot of them.
dpr-train-223	Stephanie	False	0	Brandy	True	15	she	38	Stephanie gave Brandy flowers because she was sick.
dpr-train-224	The team	True	0	AT&T Corporate	False	48	they	71	The team decided to cancel their relations with AT&T Corporate because they ran out of money.
dpr-train-225	The team	False	0	AT&T Corporate	True	48	they	71	The team decided to cancel their relations with AT&T Corporate because they are arrogant.
dpr-train-226	John	True	0	Bill	False	11	he	24	John chose Bill because he was choosing.
dpr-train-227	John	False	0	Bill	True	11	he	24	John chose Bill because he was the best choice.
dpr-train-228	John	True	0	Bill	False	13	he	26	John thanked Bill because he had needed help.
dpr-train-229	John	False	0	Bill	True	13	he	26	John thanked Bill because he was helpful.
dpr-train-230	John	True	0	Bill	False	15	he	28	John ridiculed Bill because he liked to look down upon others.
dpr-train-231	John	False	0	Bill	True	15	he	28	John ridiculed Bill because he acted like a fool.
dpr-train-232	John	True	0	Bill	False	14	he	23	John disliked Bill and he did not pick him.
dpr-train-233	John	False	0	Bill	True	14	he	24	John disliked Bill, but he did not know.
dpr-train-234	Godzilla	True	0	Tokyo	False	29	it	38	Godzilla will stomp all over Tokyo if it rises from the ocean.
dpr-train-235	Godzilla	False	0	Tokyo	True	29	it	38	Godzilla will stomp all over Tokyo if it does not build better defenses.
dpr-train-236	The grandmother	True	0	her granddaughter	False	22	she	61	The grandmother threw her granddaughter to her death because she felt jealous.
dpr-train-237	The grandmother	False	0	her granddaughter	True	22	she	61	The grandmother threw her granddaughter to her death because she would not stop screaming.
dpr-train-238	Bob Marley	True	0	the sheriff	False	16	he	33	Bob Marley shot the sheriff, but he swears it was in self-defense.
dpr-train-239	Bob Marley	False	0	the sheriff	True	16	he	33	Bob Marley shot the sheriff, but he survived.
dpr-train-240	The mother	False	0	the daughter	True	20	she	41	The mother punishes the daughter because she was disobedient.
dpr-train-241	The mother	True	0	the daughter	False	20	she	41	The mother punished the daughter because she was provoked.
dpr-train-242	The teachers	False	0	the students	True	20	they	41	The teachers failed the students because they answered the test incorrectly.
dpr-train-243	The teachers	True	0	the students	False	20	they	41	The teachers failed the students because they graded the test incorrectly.
dpr-train-244	The river	True	0	the bridge	False	20	it	39	The river destroyed the bridge because it was high.
dpr-train-245	The river	False	0	the bridge	True	20	it	39	The river destroyed the bridge because it was low.
dpr-train-246	The army	False	0	the river	True	17	it	35	The army crossed the river because it was shallow.
dpr-train-247	The army	True	0	the river	False	17	it	35	The army crossed the river because it was retreating.
dpr-train-248	The young up-and-comer	False	0	the old veteran Star	True	33	he	74	The young up-and-comer destroyed the old veteran Star in the shootout, so he got benched for the rest of the season.
dpr-train-249	The young up-and-comer	True	0	the old veteran Star	False	33	he	74	The young up-and-comer destroyed the old veteran Star in the shootout, so he got placed on the starting line for the rest of the season.
dpr-train-250	Monkeys	True	0	lions	False	13	they	27	Monkeys hate lions because they eat them.
dpr-train-251	Monkeys	False	0	lions	True	13	they	27	Monkeys hate lions because they are scary.
dpr-train-252	The sword	True	0	the tree	False	23	it	40	The sword was stuck in the tree because it was wedged in there really well.
dpr-train-253	The sword	False	0	the tree	True	23	it	40	The sword was stuck in the tree because it grew up around it.
dpr-train-254	Djokovic	False	29	Roddick	True	47	he	71	In last week's tennis match, Djokovic imitated Roddick's serve because he was the better player.
dpr-train-255	Djokovic	True	29	Roddick	False	47	he	71	In last week's tennis match, Djokovic imitated Roddick's serve because he was funny.
dpr-train-256	The infection	True	0	the building	False	32	it	53	The infection spread throughout the building because it was airborne.
dpr-train-257	The infection	False	0	the building	True	32	it	53	The infection spread throughout the building because it was ventilated.
dpr-train-258	The museum curator	False	0	the patron	True	29	he	49	The museum curator looked at the patron and said he should leave.
dpr-train-259	The museum curator	True	0	the patron	False	29	he	44	The museum curator looked at the patron and he saw him squirm.
dpr-train-260	Our professor	True	0	the TA	False	19	he	31	Our professor told the TA that he needed his help.
dpr-train-261	Our professor	False	0	the TA	True	19	he	31	Our professor told the TA that he could have the day off.
dpr-train-262	Jack	False	0	Bill	True	16	he	29	Jack shouted at Bill because he crashed the car.
dpr-train-263	Jack	True	0	Bill	False	16	he	29	Jack shouted at Bill because he was angry.
dpr-train-264	The golfers	False	0	the players	True	21	they	41	The golfers waved on the players because they were waiting.
dpr-train-265	The golfers	True	0	the players	False	21	they	41	The golfers waved on the players because they were holding them up.
dpr-train-266	Allen	False	0	Jimmy	True	17	he	31	Allen laughed at Jimmy because he told a funny joke.
dpr-train-267	Allen	True	0	Jimmy	False	17	he	31	Allen laughed at Jimmy because he was making fun of him.
dpr-train-268	The construction workers	False	0	the girls	True	37	they	52	The construction workers hollered at the girls when they walked by.
dpr-train-269	The construction workers	True	0	the girls	False	37	they	52	The construction workers hollered at the girls when they saw them.
dpr-train-270	Todd	False	0	Bill	True	10	he	20	Todd told Bill that he should run the presidency race.
dpr-train-271	Todd	True	0	Bill	False	10	he	20	Todd told Bill that he needed some money.
dpr-train-272	Sally	False	0	Beth	True	28	she	59	Sally was really happy that Beth finally got a job because she had been unemployed for years.
dpr-train-273	Sally	True	0	Beth	False	28	she	59	Sally was really happy that Beth finally got a job because she is a concerned friend.
dpr-train-274	The painting	False	0	the museum	True	20	it	39	The painting was at the museum because it was having a display.
dpr-train-275	The painting	True	0	the museum	False	20	it	39	The painting was at the museum because it was on display.
dpr-train-276	Jill	False	0	Jane	True	30	she	43	Jill was writing on a pad for Jane because she needed directions.
dpr-train-277	Jill	True	0	Jane	False	30	she	43	Jill was writing on a pad for Jane because she wanted to leave her address.
